X,Y,name,website,phone,addr:city,addr:street,addr:housenumber
6.39777703497617,46.34088557223,Camping du Chatelet,http://www.camping-chatelet.com,+33 4 50 72 52 60,SCIEZ SUR LEMAN,Chemin des hutins vieux,658
6.94281112556265,46.346557990043,Camping Clos de la George,http://www.closdelageorge.ch/,+41 24 466 58 28,Yvorne,Les Ecots,3
6.89415069468997,46.393048515147,Camping Les Grangettes,http://les-grangettes.ch/,+41219601503,Noville,Route des Grangettes,31
7.28008514941707,46.205812412296,Botza,http://www.botza.ch/,+41 (0)27 346 19 40,Vétroz,Route du Camping,1
7.63746992641218,46.2989127009924,Camping Bella-Tola,https://www.bella-tola.ch/,+41 27 473 14 91,Susten,Waldstrasse,133
7.87212553606722,46.2989586890836,Camping & Schwimmbad Mühleye,http://www.camping-visp.ch,+41 27 946 20 84,Visp,Mühleye,7
7.99334587099942,46.3087803608076,Camping Geschina,http://www.geschina.ch/,+41 27 923 06 88,Brig,Geschinastrasse,41
8.0518777795102,46.3591422470174,Tunetsch,http://www.tunetsch.com,+41 27 927 25 25,Mörel-Filet,Pfäwi,1
6.91733045991981,46.5265290327146,Camping le Bivouac,http://www.le-bivouac.ch/,+41 (0)21 948 78 49,Châtel-St-Denis,Route des Paccots,21
7.028252460868,46.9622673577114,Camping communal de Cudrefin,http://www.camping-cudrefin.ch,+41 (0)26 677 32 77,Cudrefin,Route de Neuchâtel,87
6.89377782932197,47.1207622344345,La Cibourg,http://www.centrelacibourg.ch,+41 32 968 39 37,Renan (BE),Clermont,157
7.08512185241488,46.5578330420434,Camping Haute Gruyère,http://camping-gruyere.ch/,+41(0)26 921 22 60,Bas-Intyamon,Chemin du Camping,18
7.26539886558172,46.4867478761825,Camping Saanen beim Kappeli,https://www.camping-saanen.ch/,+41 33 744 61 91,Saanen,Campingstrasse,15
7.71802652058138,46.6580079045322,Camping Stuhlegg,http://www.camping-stuhlegg.ch,+41 33 654 27 23,Krattigen,Stueleggstrasse,7a
7.04826818760884,46.8991414845045,Camping Les Joncs,https://www.treyvaud.ch,+41 (0)26 676 94 49,Avenches,Route de Salaveaux,2
7.03399227556091,46.9129667204077,TCS Camping Salavaux Plage,https://www.tcs.ch/de/reisen-camping/camping/angebote/salavaux-plage.php,+41 26 677 14 76,Vully-les-Lacs,Chemin de la Plage,10
7.22014450270955,47.1078861257745,Camping Sutz,https://camping-sutz.ch/,+41 32 397 13 45,Sutz,Kirchrain,40
7.60752860031872,46.8138335440737,Wydeli,http://www.camping-brenzikofen.ch/,+41 31 771 11 41,Brenzikofen,Wydeli,60
7.60830618590001,46.8135145454109,Wydeli,http://www.camping-brenzikofen.ch/,+41 31 771 11 41,Brenzikofen,Wydeli,60
7.90628221473407,46.7074414308103,Talacker,https://www.talacker.ch/,+41 33 822 11 28,Ringgenberg,Talacher,482B
8.30949910427788,46.5036765958877,Campingplatz Nufenen,http://www.camping-nufenen.ch,+41 27 9731437,Obergoms,Wichel,3
8.15210469970846,46.7851945979424,Obsee,https://obsee.ch/,+41 41 678 14 63,Lungern,Campingstrasse,1
8.2426485381,46.8829874318257,Camping Seefeld,http://www.seefeldpark.ch/camping,+41 (0)41 666 57 88,Sarnen,Seestrasse,20
8.41871768659462,46.9786305212023,Camping Buochs-Vierwaldstättersee,http://www.tcs-camping.ch/buochs,+41 41 620 34 74,Buochs,Seefeldstrasse,4
8.33894075776834,47.0501038710058,Camping International Lido Luzern,https://www.camping-international.ch/web_final/camping_luzern_news_d.html,+41 41 3702146,Luzern,Lidostrasse,19
7.34621614233769,47.1624091367695,Seeland Camp,http://seeland-camp.ch,+41 32 377 26 86,Meinisberg,Berg,5
7.58901142750407,47.5938489189852,Camping Au Petit Port,campinghuningue.fr,+33 389 700 171,Huningue,Allée des Marronniers,8
7.88897412247347,47.5897666034087,Zeltplatz Schwörstadt,http://www.zeltplatz-schwoerstadt.de/,+49 07762 8514,Schwörstadt,Hauptstraße,1A
8.13755749066046,47.5635709891426,Camping Waldesruh,http://www.campingwaldesruh.ch,+41 (0)62 875 22 63,Mettauertal,Hintere Egg,115
8.29965332902603,47.6042284717361,Campingplatz Hochrhein,http://www.camping-hochrhein.de,+49 7741 4244,Küssaberg,Oberdorf,56
8.38090837002408,47.5675494354716,Campingplatz Lienheim,https://www.hohentengen.de/freizeit-und-tourismus/camping.html,"+49 7746 994; +49 1518 182688",Hohentengen am Hochrhein,Rümikoner Straße,18
8.90680091987744,45.9958773442912,Eurocampo,http://www.eurocampo.ch,+41-(0)91-605-2114,Agno,Via Molinazzo,9
8.9406541196512,46.0323059459895,Camping Moretto,https://www.camping-moretto.ch/,+41 91 966 76 62,Cureglia,Moretto,3
8.97967568674978,45.9233022489899,Camping Paradiso Lago,https://camping-paradiso.ch/,+41 91 6482863,Melano,Via Pedreta,26
8.97675986987094,45.9281142023044,Monte Generoso,https://www.montegeneroso.ch/de/35/camping.aspx,+41 91 649 83 33,Melano,Via Tannini,12
8.85268612096693,46.1692623539152,CLM - Camping Lago Maggiore,http://www.clm.ch/,+41 (0) 91 745 18 48,Tenero,Via Lido,2
8.84681097460481,46.1718839227022,Rivabella,http://www.camping-rivabella.ch/,+41 (0)79 207 02 80,Tenero,Via Naviglio,11
8.84560988404886,46.1749813744405,Tamaro,http://www.campingtamaro.ch/,+41 (0)91 745 21 61,Tenero,Via Mappo,32
9.01890865436084,46.2656887434136,Al Censo,http://www.alcenso.ch,+41-91-863-1753,Claro,Al Campeggio,2
8.62277626582151,46.915198927076,Camping Flüelen,https://www.windsurfing-urnersee.ch/,+41 41 8709222,Flüelen,Unterer Winkel,11
8.6192070675853,46.9498535105961,Camping Bucheli,https://www.camping-bucheli.ch/,+41 (0)79 387 07 51,Sisikon,Campingstrasse,2
9.50643166370149,46.861622669272,Camp Au,http://www.camping-chur.ch/,+41 81 284 22 83,Chur,Felsenaustrasse,61
9.59556404040683,46.9712272999612,TCS Camping Landquart,https://www.tcs.ch/de/camping-reisen/camping/campingplaetze/standorte/landquart.php,+41-81-322 39 55,Landquart,Ganda,21
8.67005865786846,47.3458501783077,Rausenbach,http://www.zeltklub.ch,+41 44 980 09 59,Maur,Rausenbachweg,8
8.66383121636288,47.3527523683833,Naturfreunde Zeltplatz am Greifensee,http://www.nf-zeltplatz.ch/,+41 77 447 16 38,Maur,Aschbach,20
9.38723286352866,47.3225135926954,Eischen,http://eischen.ch/camping/,+41 71 787 50 30,Appenzell,Kaustrasse,123
9.42061460448137,47.5250583793488,Camping Buchhorn,https://www.arbon.ch/freizeit_tourismus/camping,+41 71 446 65 45,Arbon,Philosophenweg,17
