X,Y,tourism,name,ele,operator,website,wikidata,wikipedia,reg_name,phone,capacity,url,amenity,internet_access,addr:city,addr:postcode,opening_hours,email,addr:street,alt_name,name:de,rooms,addr:housenumber,place,access,beds,wheelchair,addr:country,contact:phone,cuisine,description,smoking,AlpinRes_ID,contact:email,internet_access:fee,reservation,shower,toilets,winter_room
7.0047617,45.9463101,alpine_hut,Refuge d'Argentière,2771,,,Q795094,fr:Refuge d'Argentière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9939012,46.0466343,alpine_hut,Gite d'etape du Peuty (Dortoir Peuty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.813062,46.1964911,alpine_hut,Refuge de Chésery,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8980975,46.1394272,alpine_hut,Cabane de Susanfe,2102,,,,,,,,https://susanfe.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8664751,46.1508102,alpine_hut,Cabane de Bonavau,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9042907,46.1657706,alpine_hut,Cabane d'Antème,,Fernand Jordan,,,,,+41 79 473 71 40,,http://www.dentsdumidi.ch/fr/hebergements/cabane-d-antheme,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9474906,46.1791185,alpine_hut,Refuge de Chalin,2595,SAC - CAS,,,,Walliser Alpen,+41 24 466 31 24,,http://www.cas-chaussy.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0405764,45.8939167,alpine_hut,Rifugio Cesare Dalmazzi,2584,Club Alpino Italiano Sezione di Torino,,Q1455968,it:Rifugio Cesare Dalmazzi al Triolet,,,,,,,,,,,,,,,,,,,,,+39 0165 869098,,,,,info@rifugiodalmazzi.com,,,,,
7.0656381,45.8847187,alpine_hut,Rifugio Elena,2055,,,Q889026,it:Rifugio Elena,,,127,,,,,,,,,,,,1,,,,,,+39 0165 844688,,,,,rifugioelena@virgilio.it,,,,,
7.1125973,45.8986239,alpine_hut,La Peule,,,https://lapeulaz.skyrock.com/,,,,,,,restaurant,,,,,coppey.lapeule@dransnet.ch,,,,,,,,,,,,regional,,,,,,,,,
7.2055861,45.9024798,alpine_hut,Cabane du Plan du Jeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1554957,45.9533069,alpine_hut,Cabane de la Tsissette,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0703669,45.9764385,alpine_hut,Cabane de Saleinaz CAS,2691,CAS Section Neuchâteloise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0793746,46.0500834,alpine_hut,Plan de l'Au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2065712,46.0136689,alpine_hut,Cabane de Mille,2473,,http://www.cabanedemille.ch,,,,+41 277832425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2454615,45.9169357,alpine_hut,Cabane du Vélan,2642,CAS Bourg-Saint-Pierre,https://www.velan.ch/,Q1024722,,,+41 27 787 13 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2716746,45.9303713,alpine_hut,Cabane de Valsorey,3037,,http://www.valsorey.ch,Q2655171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2741806,46.0303387,alpine_hut,Cabane Brunet,2103,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2997576,45.9987224,alpine_hut,Cabane FXB Panossière,2645,,http://www.cabane-fxb-panossiere.ch/,,,,+41 27 771 33 22,,,,,,,,info@cabane-fxb-panossiere.ch,,,,,,,,,,,,,,,,,,,,,
7.368479,46.0405371,alpine_hut,Bivoucac des Pantalons-blancs,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4756753,45.9898152,alpine_hut,Cabane des Vignettes CAS,3160,SAC - CAS,,Q627312,,Walliser Alpen,,,http://www.section-monte-rosa.ch/cabanes_2.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5277859,46.0060315,alpine_hut,Cabane de Bertol CAS,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5038158,46.0303483,alpine_hut,Cabane de la Tsa,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6290066,46.0019802,alpine_hut,Schönbielhütte SAC,2694,SAC,,Q179153,de:Schönbielhütte,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,
7.6009045,46.0202406,alpine_hut,Cabane de la Dent Blanche CAS,3507,SAC - CAS,,,,Walliser Alpen,,,http://www.cas-jaman.ch/cabanes/dent_blanche.php,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6070395,46.0419192,alpine_hut,Col de la Dent Blanche CAS Bivouac,3540,SAC - CAS,,,,Walliser Alpen,,,http://www.cas-jaman.ch/cabanes/bivouac.php,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7210607,46.0300454,alpine_hut,Berggasthaus Trift,2337,Familie Hugo und Fabienne Biner,http://www.zermatt.net/trift/,,,,+41 79 408 70 20,,,restaurant,,,,Jun-Sep,,,,,,,isolated_dwelling,,,,,,,,,,,,,,,
7.0496537,46.0554783,alpine_hut,Bovine,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2810186,46.0835574,alpine_hut,Cabane Mont-Fort,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3323946,46.098095,alpine_hut,Refuge de Saint-Laurent,2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1443524,46.2519727,alpine_hut,Cabanne de Plan Névé,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1948249,46.3212719,alpine_hut,Refuge de Pierredar,2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1323733,46.4044007,alpine_hut,Pra Cornet,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2746129,46.2663815,alpine_hut,Refuge d’ Airoz (Refuge d’ Aïroz),,,http://www.alpe-airoz.com,,,,,,,,,,,,,,,,,,,,,,,,,,,CH1976,,,,,,
7.2154746,46.3386913,alpine_hut,Diablerets,2485,CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3390136,46.3696127,alpine_hut,Cabane de Gelten SAC,2002,SAC,https://www.geltenhuette.ch/,,,"Freiburger, Waadtländer und Berner Alpen",+41 33 765 32 20,,,,,,,,,,,Geltenhütte SAC,,,,,,,,,,,,,,,,,,
7.5954924,46.0906851,alpine_hut,Cabane de Moiry,2825,SAC - CAS,http://www.cabane-de-moiry.ch/home.php,Q17041605,,Walliser Alpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6793646,46.1008939,alpine_hut,Cabane d'Arpitettaz,2786,SAC CAS,http://www.arpitettaz.ch/,,,Walliser Alpen,,,,,,,,,,,,,,,,,,,,+41 (0)27 475 40 28,,,,,,,,,,
7.6794415,46.1302947,alpine_hut,Cabane de Tracuit CAS,3256,SAC - CAS,https://www.tracuit.ch/,Q676670,de:Cabane de Tracuit,Walliser Alpen,+41 27 475 15 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6315188,46.2111472,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3841567,46.34345,alpine_hut,Cabane des Audannes,2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3879866,46.3792413,alpine_hut,Wildhornhütte,2303,SAC,http://www.wildhornhuette.com,Q1252733,de:Wildhornhütte,"Freiburger, Waadtländer und Berner Alpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4676662,46.3830189,alpine_hut,Wildstrubelhütte,2793,SAC,https://www.wildstrubelhuette.ch/,Q1875287,,,,,,,,Lenk,,,,,,,,,,,,,,,,,,,,,,,,
