X,Y,tourism,name,website,addr:street,addr:housenumber,addr:postcode,addr:city,phone,internet_access,operator,addr:country,email,amenity,contact:phone,rooms,contact:email,wheelchair,internet_access:fee,contact:website,smoking,opening_hours,guest_house,contact:addr,alt_name,beds,cuisine,description,contact:mobile,name:en,name:fr,addr:housename,contact:fax,designation,ele,name:de,outdoor_seating
6.1440809,46.1846369,guest_house,Carouge,,Rue de Veyrier,17,1227,,+41 78 749 33 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1410972,46.1915266,guest_house,FANNY,,Quai Charles-Page,17,,Geneva,,,,CH,,,,,,,,,,,,,,,,,,,,,,,,,
6.1268781,46.2134655,guest_house,Lievin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lievin,,,,,,
6.1759241,46.3089083,guest_house,L’auberge Au Lion d’Or,http://www.au-liondor.ch/,,,,,+41 22 776 04 23,,,,info@au-liondor.ch,,,,,,,,,,,,,,,,,,,,,,,,
6.2425296,46.3015584,guest_house,Relais de la Baronne,,Chemin des Fossés,17,1248,Hermance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9281985,45.9825341,guest_house,"Chalet 4 étoiles ""La Tête aux Vents""",http://www.chalet-argentiere.com,,,,,+33668020016,wlan,,,contact@charlet-argentiere.com,,,,,,,,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,
6.9276828,45.9949521,guest_house,Auberge La Boerne (gîte d'étape du GR du TMB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9254589,46.0289475,guest_house,The Guest House & Ski Lodge,https://www.guesthousechamonix.com/,"Chalet Chaudet, Le Morzay",,74660,Vallorcine,+33 4 50 54 16 11,,Helen Magnusson & Steve Dowse,,,,,,,,,,,,,,,,,,,,,,,,,,
6.568783,46.104347,guest_house,Hamac O Pic,,Bois Dessous,730,,,,,,,,,+33 4 50 54 20 06,,,,,http://www.hamacopic.com,,,,,,,,,,,,,,,,,
6.6789074,46.0895373,guest_house,Le Mont Buet - Bed & Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6555681,46.1518263,guest_house,Chalet Arnica,,Route des Granges,478,74260,Les Gets,+33 771031601,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,
