X,Y,tourism,building,name,addr:housenumber,addr:street,addr:postcode,addr:city,website,addr:country,phone,amenity,email,contact:phone,internet_access,contact:website,operator,ele,contact:email,cuisine,internet_access:fee,rooms,wheelchair,addr:housename,guest_house,smoking,building:levels,opening_hours,addr:suburb,contact:mobile,fax,addr:place,beds,capacity,description,stars,building:roof,name:de
6.22969026212004,46.3933747247919,guest_house,yes,Villa Sanluca Bed & Breakfast,6,Chemin des Cottages,1260,Nyon,,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.76698880018988,46.0501995037806,guest_house,house,Chalet Vaia,5288 A,Route d'Hauterive,,,,,,,,+33 4 50 89 70 44,wlan,,,,,,no,,,,,,1,,,,,,,,,,,
6.76960008394331,46.0453387494228,guest_house,apartments,Le Rouet,,Route de Salvagny,,,,,,,,+33 4 50 10 10 11,wlan,https://www.gites-de-france-haute-savoie.com/fiche-hebergement-273024.html?OPE=WSMBT&ORI=WSMBT,,,,,,2,,,,,,,,,,,5,,,2,,
6.76940160285567,46.0463706155009,guest_house,yes,Auberge de Salvagny,,,,,,,,,,+33 4 50 34 47 64,,http://www.aubergedesalvagny.com/home/,,,contact@aubergedesalvagny.com,,,18,,,,,,,,+33 6 79 63 36 22,,,,,,,,
6.9242413881204,46.0264429137294,guest_house,yes,La ferme des cimes,1046,Route du col,74660,Vallorcine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.93447883182908,46.0355510976728,guest_house,yes,L'Anatase,,,74660,Vallorcine,http://www.lanatase.com/,,+33 4 50 54 64 06,,info@lanatase.com,,,,,,,,,,,,,,,,,,+33 4 50 54 69 41,,,,,,,
6.3331264802315,46.1583270497205,guest_house,yes,Gîte de la Lierre,380,Route de la Lierre,74250,Fillinges,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.64368863991076,46.2834770105843,guest_house,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.63473616715479,46.3581653735902,guest_house,yes,L'Ourserie,376,Chemin des Rebet,,,,,,,,+33 4 50 73 33 72,,http://www.lourserie.com/,,,info@lourserie.com,,,,,,,,,,,+33 6 63 91 87 85,,,,,,,,
6.71326407585883,46.091546020742,guest_house,apartments,Gîte l'Oratoire,,,,,https://www.gites-de-france.com/location-vacances-Samoens-Gite-L-oratoire-olympia-74G258039.html,,+33 4 50 10 10 11,,,,,,Gîtes de France,,,,,,,,,,2,,,,,,,,,,,
6.74460786088304,46.0731104928845,guest_house,yes,Le clos missaire,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
6.74040701280813,46.0757693268905,guest_house,yes,La ferme d'en bas,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.75822417606318,46.0612409973607,guest_house,house,Chambres d'hôtes du Mont,,,,,,,,,,+33 4 50 34 95 10,,https://www.chambresdhotes-lemont.fr/,,,chantal.lemont@orange.fr,,,2,,,,,,,,+33 6 75 79 99 85,,,4,6,,,,
