X,Y,building,name,tourism,addr:housenumber,addr:street,addr:postcode,addr:city,addr:country,website,phone,amenity,stars,ele,internet_access,wheelchair,email,operator,internet_access:fee,contact:phone,contact:email,fax,contact:website,rooms,building:levels,cuisine,contact:fax,smoking,wikidata,opening_hours,beds,addr:housename,roof:levels,toilets:wheelchair,roof:shape,addr:suburb,building:roof
6.09926936028984,46.2236084036489,yes,Holiday Inn Express,hotel,,,,,,,,,,,yes,,,,no,,,,,154,,,,,,,,,,,,,
6.10069869649301,46.2241998933977,yes,Mövenpick,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.10659607359077,46.2248636394776,yes,Crowne Plaza Hotel,hotel,75,Avenue Louis-Casaï,,Cointrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.10578063537449,46.2268463662171,yes,Nash Airport Hotel,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.10647681156953,46.2274600412684,yes,Hôtel Ibis,hotel,10,Chemin De La Violette,,Cointrin,,,+33 2 27 10 95 00,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1350702245879,46.2141880525477,yes,Ibis Genève Centre Nations,hotel,33-35,Rue du Grand-Pré,,Genève,CH,http://www.ibis.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.13266240527325,46.224470699713,hotel,Hôtel Intercontinental,hotel,7-9,Chemin du Petit-Saconnex,1209,Genève,,,,,5,,,,,Hotel Intercontinental,,,,,,,,,,no,Q15132695,,,,,,,,
6.12296747853659,46.2339044503708,yes,,hotel,,,,Le Grand-Saconnex,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,
6.12330119364545,46.2341248795595,yes,,hotel,,,,Le Grand-Saconnex,,,,,,,,,,l'Auberge,,,,,,,,,,outside,,,,,,,,,
6.11906669794063,46.2363846272945,hotel,Starling Hotel Geneva,hotel,,,,,,http://www.shgeneva.com,,,,,,yes,,,,,,,,,8,,,,,,,,,,,,
6.11845732311009,46.250996506574,yes,,hotel,1,Chemin de Colovrex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.11658069946692,46.2539350849805,yes,Residence Hoteliere La Reserve,hotel,1,Avenue du Jura,01210,Ferney-Voltaire,,https://www.residence-la-reserve.com/,+33 4 50 40 30 20,,,,wlan,,,,no,,,,,,,,,,,,,,,,,,
6.23991353034009,46.3834975011103,yes,Hôtel de l'Ange,hotel,22,Rue Saint-Jean,1260,Nyon,CH,,+41 22 361 55 09,,,,,,,,,,,,,,,,,,,,,,,,,,
6.20374709762925,46.4004866418421,yes,Hôtel-Restaurant du Moulin,hotel,,,,,,,,restaurant,,,,limited,,,,,,,,,,,,,,,,,,,,,
6.27750980707157,46.3493324275443,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.32280043143839,46.3684885295418,hotel,Villa Cécile,hotel,156,Route de Messery,,,,,,,4,,,,,,,+33 4 50 72 27 40,reservation@villacecile.com,,http://www.villacecile.com/fr/index.php,,,,+33 4 50 72 27 15,,,,,,,,,,
6.32750736634698,46.368902450112,yes,Le Pré de la Cure,hotel,1,Place de la Mairie,,,,,,,3,,,,,,,+33 4 50 72 83 58,lepredelacure@wanadoo.fr,,http://www.pre-delacure.com/NewSite/tarifs.html,,,,+33 4 50 72 91 15,,,,,,,,,,
6.32687790369487,46.3697919594706,yes,Le Vieux Logis,hotel,,,,,,,,,,,,,,,,+33 4 50 72 80 24,contact@levieuxlogis.com,,http://www.levieuxlogis.com/fr/index.php,,,,,,,,,,,,,,
6.32466704989668,46.3705840760188,yes,Hôtel du Port,hotel,,,,,,,,,4,,,,,,,+33 4 50 72 80 17,reservation@hotelrestaurantduport-yvoire.com,,http://www.hotelrestaurantduport-yvoire.com/fr/index.php,,,,+33 4 50 72 90 71,,,,,,,,,,
6.93208593279682,46.0336103460436,hotel,Résidence Vallorcine Mont-Blanc,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
6.93239046206798,46.0337143477005,hotel,Résidence Vallorcine Mont-Blanc,,44,Route des Confins du Valais,74660,Vallorcine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.35708869738099,46.3512460079764,hotel,Hôtel de la Plage,hotel,,,,,,,,,,,,,,,,+33 4 50 72 81 12,hoteldelaplage@sfr.fr,,http://www.hoteldelaplage-excenevex.com/index.php?lang=fr,,,,+33 4 50 72 93 44,,,,,,,,,,
6.35341962377083,46.3549367808688,hotel,Le Bellevue,hotel,76,Rue du Centre,,,,,,,,,,,,,,+33 4 50 72 83 00,,,,,,,+33 4 50 72 91 97,,,,,,,,,,
6.83254736585834,46.184246100064,yes,Hotel des Portes du Soliel,hotel,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,
6.84465115458974,46.1697755501082,yes,Sportclub Onu,hotel,,,,,,,,,,,,,,Frosch Sportreisen,,,,,,,,,,,,,,,,,,,
6.8467347429505,46.1701602501344,,Plein Ciel,hotel,,,,,,http://pleinciel.com,+41 24 479 28 38,,,,,,,,,,,,,,,,,,,,,,,,,,
6.95846383769718,46.0597159002522,hotel,,,,,,Le Châtelard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.97491597823373,46.0822782159289,house,Pension Régina,hotel,,Rue de la Gare,1925,Finhaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.99413025,46.05777275,yes,Hôtel La Grande Ourse,hotel,30,Betty,1929,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
6.87297795571489,46.1808218500648,hotel,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,
6.87358874925322,46.1812611497465,yes,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.00487315243596,46.2296757910789,yes,Le Saint Christophe,hotel,,,,,,http://www.stchristophesa.com,+41 244 852 977,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,
6.85326367622578,46.2366400790018,yes,Bellevue,hotel,,,1875,Troistorrents,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.83315402388376,46.2692193323456,hotel,Au Bois de Lune,hotel,1725,Route de la Dranse,,,,,,,,,,,,,,+33 4 50 81 36 94,,,http://www.auboisdelune.com/,,,,,,,,,,,,,,
6.83785660156594,46.2624471570197,yes,La Bergerie,hotel,,,,,,,,,2,,,,,,,+33 4 50 73 27 20,info@hotelbergerie.com,,http://www.hotelbergerie.com/,,,,+33 4 50 73 27 19,,,,,,,,,,
6.83848357595483,46.2625270518229,yes,Le Tremplin,hotel,529,Route du Linga,,,,,,,,,,,,,,+33 4 50 73 23 06,,,http://www.hotel-le-tremplin.com/,,,,,,,,,,,,,,
6.84084879087657,46.2585463556507,yes,La Flèche d'Or,hotel,973,Route de Vonnes,74390,Châtel,,www.laflechedor.com,,,,,,,info@laflechedor.com,,,,,,,,,,,,,,,,,,,,
6.83964270976501,46.2596191000373,hotel,Le Grand Lodge,apartment,,Chemin de Vonnes,,,,,,,,,,,,,,+33 5 57 26 99 31,,,,,,,,,,,,,,,,,
6.8386779778824,46.2638176767151,hotel,Le Panoramic,hotel,426,Route du Linga,74390,Châtel,,,,,,,,,,,,+33 4 50 73 01 74,,,http://www.hotelpanoramic.net/,,2,,,,,,,,,,,,
6.84139472647684,46.2676204941259,yes,Le Lion d'Or,hotel,142,Route du Centre,74390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.78892724892354,46.3694165814543,hotel,Le Grammont,hotel,,,,,,,,restaurant,,,,,,,,+33 4 50 76 73 68,,,,,4,,,,,,,,,,,,
6.78899671661482,46.3699045784804,hotel,Le Clozet,hotel,,"Chemin des Savignons,",,,,,,,,,,,,,,+33 4 50 70 67 62,leclozet5961@gmail.com,,http://www.leclozetanovel.com/,7,3,,,,,,,,,,,,
6.80537765,46.3936953,house,Le Rivage,hotel,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
6.87632855,46.32034315,hotel,Hôtel de Torgon,hotel,5,Rue de la Lanche,1899,Torgon,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,
7.01435495,46.34216245,yes,Tour d'Aï,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.00955899003265,46.3438781402068,yes,Alpine Ski Center (Village Camps Leysin),hotel,,Route du Belvédère,,Leysin,,,,,,,yes,,,Village Camps,no,,,,,,,,,no,,,,,,,,,
7.01384090000169,46.3443053500138,yes,Alpine Classic,hotel,3,Route de la Cité,1854,Leysin,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
