X,Y,tourism,name,addr:street,website,addr:postcode,addr:housenumber,addr:city,phone,addr:country,amenity,stars,wheelchair,internet_access,operator,email,internet_access:fee,contact:phone,contact:email,contact:website,rooms,contact:fax,fax,cuisine,opening_hours,smoking,toilets:wheelchair,alt_name,beds,wikidata,brand,outdoor_seating,ele,name:de,wheelchair:description
6.094351,46.2225819,hotel,Hotel de L'Aviation,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
6.1057877,46.225507,hotel,Hôtel Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1063881,46.2260695,hotel,Hôtel 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1277209,46.2118216,hotel,NH Geneva City,Avenue Wendt,https://www.nh-hotels.fr/hotel/nh-geneva-city,1203,42-44,Genève,,,,,,,,,,,,,,,,,,,,,,,NH Hoteles,,,,
6.113772,46.2207478,hotel,Suitehotel Genève - Novotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.114038,46.2205035,hotel,Ibis Budget,,,,,,,,,,,,Ibis Budget,,,,,,,,,,,,,,,,Accor,,,,
6.1327223,46.215478,hotel,Hotel Les Nations,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
6.1492988,46.2505816,hotel,La Réserve,Route de Lausanne,http://www.lareserve.ch/fr/hotel-de-luxe/,1293,301,Bellevue,,,,5,,,Michel Reybier Hospitality,,,,,,,,,,,,,,,,,,,,
6.1664454,46.2810381,hotel,Lake Geneva Hotel,Route de Suisse,,1290,77,Versoix,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1925906,46.3325019,hotel,Auberge de Founex,,http://www.aubergedefounex.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2383125,46.3818554,hotel,Hôtel Restaurant du XVIe Siècle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2380153,46.3841033,hotel,Hôtel des Alpes,,https://www.alpes-nyon.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2396275,46.3832874,hotel,Hotel Ambassador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2370838,46.3844309,hotel,Base Nyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2414174,46.3805663,hotel,Hotel Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2418783,46.3813765,hotel,Hotel Beau Rivage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.257117,46.3934061,hotel,La Barcarolle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9493307,46.0525424,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8468345,46.1702439,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8353545,46.1840063,hotel,Hotel Telecabine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8370929,46.184052,hotel,Les Crosets Mountain Lodge,Hameau des Crosets,https://www.mountain-lodge.co.uk/,,,,+41244792580,,,,,,,,,,,,,,,,,,,,,,,,,,
6.83763,46.184491,hotel,Hotel L'Etable,Hameau des Crosets,http://www.hotel-etable.ch,,,,+41245656555,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9733352,46.0820264,hotel,La Croix fédérale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.974102,46.0820878,hotel,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9754217,46.0824763,hotel,Les Perrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9758252,46.0834846,hotel,Mont Fleuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9764004,46.0831227,hotel,Grand Hôtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.977179,46.0833818,hotel,Bel Oiseau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
