X,Y,name,addr:housenumber,addr:street,addr:city,phone
6.50308896174223,46.5219748605208,Julia Mettler,20,Chemin des Pétoleyres,Morges,+41 (0) 21 801 57 48
6.61207495,46.91113475,A Côté,8,Rue Centrale,Môtiers,+41 (0)79 240 13 13
6.90600785392517,47.1565353998792,Chasseral Outdoor,96,La Chaux-d'Abel,La Ferrière,+41(32)3151989
7.30099058560963,46.7326734997921,B&B Zum Hinkelstein,526,Mülleren,Guggisberg,+41 26 419 35 27
7.45955399289046,46.6613353427853,Bären,183,Bunschen,Oberwil im Simmental,+41 33 783 11 31
7.10730387675816,46.7803428500233,Maison des Anges,12,Impasse de Froideville,Posieux,+41 26 400 06 51
7.25774844481798,47.1012062001848,B&B Gästehaus im Grünen,2,Birkenweg,Jens,+4132 331 65 26
7.43993310412759,46.8015120500558,Waldruh,16,Hohlenweg,Riggisberg,+41 31 802 01 28
7.44678241691299,46.8121400409629,Schlafen im Stroh,4,Muriboden,Riggisberg,+41 31 809 30 02
7.51055583913606,46.8066317104489,Gasthof Kreuz Lohnstorf,8,Hauptstrasse,Lohnstorf,+41 79 277 01 13
7.51994723335965,46.9160045775694,Gasthof zum Hirschen,10a,Thunstrasse,Allmendingen bei Bern,+41 (0) 951 21 56
7.25820234035884,47.1282772002134,B&B Herren,109,Brüggstrasse,Biel/Bienne,+41 32 361 2268/+41 79 769 7740
8.04565932823814,47.3825079005675,Barbros Bed & Breakfast,7,Heideggweg,Aarau,"+41 62 824 34 02; +41 79 219 19 63"
8.04556525583507,47.3830968457489,Tgèsa Salep,8,Dossenstrasse,Aarau,"+41 62 823 94 27 ; +41 79 270 44 22"
8.06278553166033,47.3953793004456,Jura,87,Rohrerstrasse,Aarau,+41 62 824 75 55
7.779849347048,47.5557130002535,Raffaele Maio,18,Stelleacker,Rheinfelden (Baden),+49 174 16 32 32 1
8.0984910612674,47.5724316893876,Gasthaus Engel,34,Luttinger Straße,Laufenburg (Baden),+49 7763 7104
8.3764600955177,47.5422246500694,Bed & Breakfast,5,Oberdorf,Siglistorf,+41 56 243 17 44
8.29216730303273,47.5863823998863,Gasthaus zum Schlüssel,31,Hauptstrasse,Bad Zurzach,+41 56 249 11 40
8.29870693876578,47.5825219998483,Pension Neuberg,49,Neubergstrasse,Bad Zurzach,+41 49 770 11 44
8.26536035,47.6190575,Gasthof zum Lauffen,1,Homburg,Waldshut-Tiengen,+49 7741 61588
8.13623935,47.6445723,Brunnmatthof,9,Waldshuter Gass,Albbruck,+49 7755 919731
8.21179155795998,47.6646858593362,Adler,28,Obere Landstraße,Waldshut-Tiengen,+49 7741 2446
9.5279476,47.02954505,Gasthof St. Luzisteig,3,St. Luzisteig,Maienfeld,+41 81 3027222
8.70924538991121,47.4917710263391,Die Bleibe,14,Einfangstrasse,Winterthur,+41 52 202 13 71
8.91047171412491,47.6558819002811,Gästehaus Stöhr,1,Uferweg,Öhningen,+49 7735 3150
10.1405816940281,46.547775849826,Chalet Moon,46,Via Rasia,Livigno,+39 0342 970059
9.84899834923956,46.7973475325014,Shima,63,Dischmastrasse,Davos Dorf,+41 81 410 12 00
9.85124957034959,46.8116162060446,Zur Stilli,2,Stillistrasse,Davos Dorf,+41 81 416 33 28
